dates;Molecular positivity;Molecular & Antigen samples;Serological positivity;Serological sample;SINADEF excess of death;MINSA death;DIRESA & DIRIS death;DIRESA & DIRIS infected;free UCI´s bed %;Total UCI´s bed;Vaccinated-1st ;Vaccinated-2nd ;Vaccinated-3rd ;Vaccinated-4th;Vaccinated-5th;Vaccinated-6th
2/07/2021;6.2;NA;NA;NA;17.07415943;140;NA;NA;10.6974754;2337;116829;91864;3;0;0;0
3/07/2021;5.87;NA;NA;NA;18.01175778;151;NA;NA;10.87883959;2344;124892;73395;1;0;0;0
4/07/2021;4.89;NA;NA;NA;17.37024312;127;NA;NA;11.43832693;2343;100476;35760;1;0;0;0
5/07/2021;5.79;NA;NA;NA;17.12350671;121;NA;NA;12.52122241;2356;151541;37137;2;0;0;0
6/07/2021;6.07;NA;NA;NA;16.33395021;115;NA;NA;12.97709924;2358;172767;41988;2;0;1;0
7/07/2021;5.03;NA;NA;NA;15.44569914;123;NA;NA;12.71948608;2335;137866;34701;2;0;2;0
8/07/2021;5.18;NA;NA;NA;17.02481215;97;NA;NA;13.21989529;2292;115866;43832;10;0;3;0
9/07/2021;5.31;NA;NA;NA;17.91306322;109;NA;NA;14.80686695;2330;123223;41352;1;0;1;0
10/07/2021;5.3;NA;NA;NA;16.8767703;108;NA;NA;15.29818496;2314;242053;27224;8;0;1;0
11/07/2021;4.77;NA;NA;NA;15.39635186;95;NA;NA;15.87575496;2318;170537;11047;10;0;0;0
12/07/2021;5.43;NA;NA;NA;16.92611759;81;NA;NA;15.79634465;2298;84821;22934;4;0;1;0
13/07/2021;5.27;NA;NA;NA;16.13656108;99;NA;NA;16.99092088;2313;86887;25652;1;0;0;0
14/07/2021;4.46;NA;NA;NA;12.83029321;91;NA;NA;18.17406143;2344;119667;30273;5;0;2;0
15/07/2021;4.66;NA;NA;NA;14.90287904;83;NA;NA;18.13471503;2316;142488;58273;0;0;0;0
16/07/2021;5.14;NA;NA;NA;15.05092088;91;NA;NA;18.79861711;2314;133640;95420;6;0;0;0
17/07/2021;5.34;NA;NA;NA;13.96528069;89;NA;NA;18.30802603;2305;228071;81758;15;0;0;0
18/07/2021;4.62;NA;NA;NA;13.47180787;108;NA;NA;18.86629165;2311;131998;47088;8;0;2;0
19/07/2021;5.13;NA;NA;NA;15.05092088;88;NA;NA;19.12964642;2206;57804;40980;3;0;1;0
20/07/2021;4.77;NA;NA;NA;15.44569914;84;NA;NA;20.10027347;2194;71743;32042;2;0;0;0
21/07/2021;4.36;NA;NA;NA;14.40940622;76;NA;NA;19.7997269;2197;86937;72946;3;0;3;0
22/07/2021;4.65;NA;NA;NA;13.61984972;79;NA;NA;21;2200;110679;84114;13;0;5;0
23/07/2021;5.04;NA;NA;NA;14.45875351;62;NA;NA;22.42863616;2207;147562;101482;8;0;5;0
24/07/2021;4.38;NA;NA;NA;14.55744807;77;NA;NA;22.21715328;2192;276695;112441;4;0;5;0
25/07/2021;4;NA;NA;NA;13.47180787;84;NA;NA;22.96195652;2208;207115;101593;8;0;1;0
26/07/2021;4.12;NA;NA;NA;14.90287904;60;NA;NA;23.67941712;2196;52605;25575;2;0;0;0
27/07/2021;4.01;NA;NA;NA;14.26136438;77;NA;NA;23.66273799;2206;40935;214963;6;0;0;0
28/07/2021;3.01;NA;NA;NA;13.27441875;73;NA;NA;23.48272642;2142;14145;102315;7;0;1;0
29/07/2021;3.41;NA;NA;NA;11.00444379;58;NA;NA;23.5892692;2162;15708;49705;5;0;0;0
30/07/2021;5.67;NA;NA;NA;13.96528069;56;NA;NA;25;2184;37650;128934;7;0;2;0
31/07/2021;4.51;NA;NA;NA;14.80418448;62;NA;NA;24.45272473;2147;59236;217442;10;0;2;0
1/08/2021;4.94;NA;NA;NA;12.87964049;54;NA;NA;24.16044776;2144;52817;157027;7;0;0;0
2/08/2021;5.02;NA;NA;NA;16.03786652;66;NA;NA;24.88196412;2118;40971;108495;2;0;0;0
3/08/2021;4.57;NA;NA;NA;11.7940003;63;NA;NA;26.68235294;2125;38442;101860;4;0;0;0
4/08/2021;4.96;NA;NA;NA;11.34987477;63;NA;NA;25.30120482;2075;49457;112691;3;0;0;0
5/08/2021;4.83;NA;NA;NA;12.78094593;70;NA;NA;26.72744722;2084;51441;121739;2;0;0;0
6/08/2021;5.07;NA;NA;NA;11.94204214;72;NA;NA;27.47358309;2082;156103;129759;7;0;0;0
7/08/2021;4.34;NA;NA;NA;12.92898778;66;NA;NA;27.91485244;2067;290645;207160;4;0;4;0
8/08/2021;4.94;NA;NA;NA;13.22507147;57;NA;NA;28.55755221;2059;222521;140863;8;0;1;0
9/08/2021;4.78;NA;NA;NA;12.92898778;74;NA;NA;28.04284323;2054;53625;52528;0;0;0;0
10/08/2021;6.17;NA;NA;NA;14.55744807;51;NA;NA;27.5036639;2047;60857;63916;5;0;1;0
11/08/2021;3.96;NA;NA;NA;13.17572418;58;NA;NA;28.89324192;2042;42127;78228;1;0;0;0
12/08/2021;4.44;NA;NA;NA;13.17572418;56;NA;NA;28.84520885;2035;37943;80503;2;1;0;0
13/08/2021;4.48;NA;NA;NA;14.60679535;45;NA;NA;30.17751479;2028;34670;83652;5;1;0;0
14/08/2021;6.28;NA;NA;NA;11.44856933;51;NA;NA;31.05986261;2038;40007;195335;10;1;1;0
15/08/2021;3.01;NA;NA;NA;12.63290409;54;NA;NA;31.72413793;2030;21259;176464;9;0;0;0
16/08/2021;5;NA;NA;NA;12.63290409;52;NA;NA;33.18496538;2022;32810;47792;5;0;1;0
17/08/2021;4.13;NA;NA;NA;11.64595846;42;NA;NA;33.30019881;2012;37641;63596;3;0;1;0
18/08/2021;3.35;NA;NA;NA;11.69530574;51;NA;NA;33.65095286;1994;34868;54951;5;0;0;0
19/08/2021;3.46;NA;NA;NA;10.75770739;47;NA;NA;33.6168084;1999;43478;58965;3;0;0;0
20/08/2021;4.06;NA;NA;NA;11.7940003;51;NA;NA;34.15245737;1994;82002;69443;10;0;0;0
21/08/2021;3.58;NA;NA;NA;13.32376603;39;NA;NA;34.43609023;1995;186927;130682;10;0;0;0
22/08/2021;3.73;NA;NA;NA;12.18877855;44;NA;NA;34.30436966;1991;152231;80278;10;0;0;0
23/08/2021;3.69;NA;NA;NA;12.92898778;50;NA;NA;35.61643836;1971;34965;46335;12;0;0;0
24/08/2021;3.65;NA;NA;NA;12.48486224;30;NA;NA;36.07142857;1960;37926;39706;8;0;1;0
25/08/2021;3.8;NA;NA;NA;13.91593341;35;NA;NA;37.09759836;1957;53657;38237;12;0;0;0
26/08/2021;3.37;NA;NA;NA;12.04073671;41;NA;NA;37.95396419;1955;70799;36543;14;0;1;0
27/08/2021;3.64;NA;NA;NA;12.13943127;48;NA;NA;37.4936322;1963;55251;119010;11;0;1;0
28/08/2021;3.37;NA;NA;NA;14.45875351;35;NA;NA;37.92926704;1951;231163;233184;20;0;0;0
29/08/2021;3.34;NA;NA;NA;12.83029321;39;NA;NA;37.90816327;1960;179709;229925;9;0;3;0
30/08/2021;2.94;NA;NA;NA;11.84334758;45;NA;NA;38.01020408;1960;7853;10211;7;0;0;0
31/08/2021;3.29;NA;NA;NA;11.49791661;30;NA;NA;40.18691589;1926;71240;49248;9;0;0;0
1/09/2021;3.3;NA;NA;NA;12.73159865;32;NA;NA;40.74267782;1912;82008;71408;12;0;0;0
2/09/2021;3.84;NA;NA;NA;11.49791661;39;NA;NA;42.02822791;1913;127405;59028;7;0;0;0
3/09/2021;3.85;NA;NA;NA;11.59661117;40;NA;NA;42.47648903;1914;146504;68662;6;0;0;0
4/09/2021;3.22;NA;NA;NA;13.61984972;47;NA;NA;42.96257248;1897;290206;75709;11;0;0;0
5/09/2021;3.25;NA;NA;NA;11.69530574;31;NA;NA;43.60465116;1892;238475;33757;9;0;0;0
6/09/2021;3.68;NA;NA;NA;11.2511802;37;NA;NA;43.21314952;1886;111446;30280;4;0;2;0
7/09/2021;3.35;NA;NA;NA;10.26423457;29;NA;NA;42.75053305;1876;175306;38600;8;0;0;0
8/09/2021;3.64;NA;NA;NA;12.83029321;37;NA;NA;44.46227929;1869;299516;54742;6;0;0;0
9/09/2021;3.65;NA;NA;NA;12.09008399;40;NA;NA;44.09871245;1864;299615;51150;11;0;1;0
10/09/2021;4.13;NA;NA;NA;11.2511802;36;NA;NA;45.44964997;1857;339374;75818;18;0;1;0
11/09/2021;3.9;NA;NA;NA;11.44856933;25;NA;NA;45.59139785;1860;483672;119807;12;0;1;0
12/09/2021;2.95;NA;NA;NA;12.83029321;34;NA;NA;45.78183772;1861;367407;124585;7;0;3;0
13/09/2021;3.51;NA;NA;NA;12.92898778;39;NA;NA;46.69156884;1874;171453;39438;8;0;0;0
14/09/2021;3.32;NA;NA;NA;12.09008399;38;NA;NA;46.77072121;1858;261367;41156;17;0;2;0
15/09/2021;3.72;NA;NA;NA;10.60966554;29;NA;NA;47.0461869;1862;200012;53996;18;0;0;0
16/09/2021;3.69;NA;NA;NA;11.20183292;27;NA;NA;48.56988667;1853;263399;74730;17;0;1;0
17/09/2021;4.26;NA;NA;NA;11.00444379;32;NA;NA;48.70550162;1854;254291;53879;17;0;1;0
18/09/2021;4.34;NA;NA;NA;11.64595846;32;NA;NA;48.54994629;1862;331948;159798;18;0;2;0
19/09/2021;2.71;NA;NA;NA;11.99138943;29;NA;NA;47.5780409;1858;187854;117025;20;0;3;0
20/09/2021;3.91;NA;NA;NA;13.17572418;27;NA;NA;48.18624797;1847;85721;46405;26;0;0;0
21/09/2021;3.63;NA;NA;NA;12.18877855;29;NA;NA;48.43412527;1852;119030;82685;26;0;4;0
22/09/2021;3.61;NA;NA;NA;11.34987477;29;NA;NA;48.15418024;1842;105252;76742;19;0;7;0
23/09/2021;4.35;NA;NA;NA;11.34987477;36;NA;NA;48.4519283;1841;94586;75965;27;0;7;0
24/09/2021;4.36;NA;NA;NA;12.63290409;26;NA;NA;48.48156182;1844;101782;96393;18;0;6;0
25/09/2021;3.93;NA;NA;NA;11.44856933;36;NA;NA;49.1598916;1845;159420;253513;20;0;5;0
26/09/2021;4.2;NA;NA;NA;11.89269486;26;NA;NA;49.21663965;1851;124313;204267;22;0;2;0
27/09/2021;3.87;NA;NA;NA;12.63290409;29;NA;NA;49.20980926;1835;97992;108840;12;0;0;0
28/09/2021;3.79;NA;NA;NA;12.73159865;34;NA;NA;48.85496183;1834;110020;129288;16;0;0;0
29/09/2021;3.38;NA;NA;NA;11.44856933;31;NA;NA;49.50873362;1832;103251;209185;43;0;1;0
30/09/2021;4.31;NA;NA;NA;9.178594376;34;NA;NA;49.91807755;1831;96089;219684;43;0;0;0
1/10/2021;4.06;NA;NA;NA;11.99138943;32;NA;NA;50.63924402;1799;90402;199384;33;0;0;0
2/10/2021;4.08;NA;NA;NA;11.30052748;38;NA;NA;51.54185022;1816;177885;399984;65;0;0;0
3/10/2021;3.39;NA;NA;NA;11.89269486;29;NA;NA;51.24103696;1813;153050;332781;28;0;2;0
4/10/2021;4.06;NA;NA;NA;13.32376603;26;NA;NA;50.85399449;1815;73973;192804;31;0;0;0
5/10/2021;4.3;NA;NA;NA;10.31358185;28;NA;NA;52.39706712;1773;74521;222709;27;0;2;0
6/10/2021;4.58;NA;NA;NA;12.83029321;21;NA;NA;52.55761664;1779;75433;207127;28;0;0;0
7/10/2021;4.13;NA;NA;NA;11.49791661;20;NA;NA;52.26636821;1787;70561;201736;23;0;1;0
8/10/2021;4.44;NA;NA;NA;11.64595846;23;NA;NA;52.87162162;1776;58322;153708;47;0;2;0
9/10/2021;3.59;NA;NA;NA;11.20183292;29;NA;NA;52.7700056;1787;95152;283228;23;0;2;0
10/10/2021;3.43;NA;NA;NA;13.47180787;43;NA;NA;53.17237507;1781;65145;178187;33;1;1;0
11/10/2021;4.39;NA;NA;NA;11.15248564;34;NA;NA;52.41301908;1782;63765;117157;30;0;3;0
12/10/2021;4.24;NA;NA;NA;11.20183292;37;NA;NA;52.95441756;1777;115959;126419;71;0;1;0
13/10/2021;3.8;NA;NA;NA;11.15248564;24;NA;NA;52.41301908;1782;110228;118914;20;0;0;0
14/10/2021;3.98;NA;NA;NA;12.28747312;29;NA;NA;52.31973169;1789;107032;119325;37;0;1;0
15/10/2021;4.26;NA;NA;NA;12.09008399;21;NA;NA;51.98213289;1791;110747;112073;20454;0;0;0
16/10/2021;4.06;NA;NA;NA;12.43551496;35;NA;NA;52.61089276;1781;177747;146807;25272;0;1;0
17/10/2021;4.35;NA;NA;NA;10.7083601;28;NA;NA;52.80135823;1767;157140;121404;10926;0;1;0
18/10/2021;4.17;NA;NA;NA;12.97833506;33;NA;NA;53.0878187;1765;92412;86976;26946;0;0;1
19/10/2021;4.69;NA;NA;NA;10.41227642;35;NA;NA;53.42776204;1765;76554;104004;25831;0;1;0
20/10/2021;3.64;NA;NA;NA;11.44856933;36;NA;NA;53.56935577;1723;58197;98347;25551;0;2;0
21/10/2021;4.21;NA;NA;NA;11.20183292;24;NA;NA;53.62739408;1723;57321;93284;16853;0;0;0
22/10/2021;3.97;NA;NA;NA;11.15248564;23;NA;NA;54.95915986;1714;48857;90387;15568;0;2;0
23/10/2021;3.84;NA;NA;NA;11.30052748;27;NA;NA;54.12039743;1711;107000;146448;7338;0;2;0
24/10/2021;3.9;NA;NA;NA;11.69530574;30;NA;NA;53.50318471;1727;74590;127306;2215;0;0;0
25/10/2021;4.6;NA;NA;NA;11.64595846;35;NA;NA;53.61726954;1714;40513;76547;7009;0;0;0
26/10/2021;4.35;NA;NA;NA;9.869456318;22;NA;NA;53.29446064;1715;38021;74556;6313;0;0;0
27/10/2021;3.72;NA;NA;NA;11.89269486;27;NA;NA;53.94581861;1698;37718;70860;5819;0;0;1
28/10/2021;4.11;NA;NA;NA;10.36292913;24;NA;NA;54.30267062;1685;44899;72421;11363;0;1;0
29/10/2021;3.68;NA;NA;NA;12.04073671;32;NA;NA;53.31343284;1675;47799;67398;15226;0;0;0
30/10/2021;4.16;NA;NA;NA;10.65901282;39;NA;NA;53.4842168;1679;209014;87159;14382;0;0;0
31/10/2021;3.8;NA;NA;NA;10.65901282;31;NA;NA;53.49112426;1690;176669;70150;9102;0;0;1
1/11/2021;3.08;NA;NA;NA;13.57050244;26;NA;NA;52.67220903;1684;75796;24667;4370;1;0;0
2/11/2021;5.28;NA;NA;NA;11.69530574;29;NA;NA;52.12702217;1669;92966;37042;6775;0;0;0
3/11/2021;3.85;NA;NA;NA;11.54726389;31;NA;NA;52.09832134;1668;110243;50649;9727;0;0;0
4/11/2021;4.33;NA;NA;NA;12.48486224;30;NA;NA;51.76964607;1667;171854;61394;9907;0;0;0
5/11/2021;3.98;NA;NA;NA;12.48486224;31;NA;NA;50.33353548;1649;231019;60059;9047;0;0;0
6/11/2021;4.2;NA;NA;NA;10.75770739;35;NA;NA;50.49019608;1632;335859;104175;9288;0;2;0
7/11/2021;3.79;NA;NA;NA;11.39922205;26;NA;NA;49.23076923;1625;220009;95709;6147;0;0;0
8/11/2021;5.02;NA;NA;NA;11.00444379;40;NA;NA;48.58199753;1622;125444;74910;7718;0;0;0
9/11/2021;4.29;NA;NA;NA;11.2511802;40;NA;NA;73.03241102;32057;115992;98077;10956;0;1;1
10/11/2021;4.27;NA;NA;NA;11.94204214;24;NA;NA;72.90637313;31978;116151;83602;16915;0;0;2
11/11/2021;3.79;NA;NA;NA;10.51097098;37;NA;NA;72.67820584;32238;99336;80710;19490;0;0;0
12/11/2021;4.03;NA;NA;NA;11.00444379;40;NA;NA;72.50499002;32064;91525;69734;14698;0;0;0
13/11/2021;4.32;NA;NA;NA;10.65901282;28;NA;NA;72.45365322;32095;121863;119310;11755;0;0;0
14/11/2021;4.2;NA;NA;NA;11.89269486;34;NA;NA;72.05955956;31968;103814;105786;12145;0;2;0
15/11/2021;5.3;NA;NA;NA;11.34987477;36;NA;NA;71.59922447;31978;91333;74033;10021;0;1;0
16/11/2021;4.62;NA;NA;NA;9.524025347;30;NA;NA;71.36390784;31813;112296;73258;11256;0;0;0
17/11/2021;4.69;NA;NA;NA;11.30052748;33;NA;NA;71.40641813;31598;111617;73876;10544;0;0;0
18/11/2021;4.06;NA;NA;NA;12.18877855;36;NA;NA;71.28195559;32154;111129;72087;10697;0;1;0
19/11/2021;4.52;NA;NA;NA;9.968150881;46;NA;NA;71.19285824;32485;114193;68097;12188;0;1;0
20/11/2021;4.91;NA;NA;NA;11.00444379;30;NA;NA;70.72220376;33107;141093;190779;13318;0;2;0
21/11/2021;3.8;NA;NA;NA;11.2511802;35;NA;NA;70.45181927;32513;115639;185574;15036;0;0;0
22/11/2021;4.86;NA;NA;NA;11.59661117;28;NA;NA;70.62659571;32509;87747;101294;18251;0;0;0
23/11/2021;4.87;NA;NA;NA;12.87964049;43;NA;NA;70.52262881;32547;91031;110339;18833;0;1;1
24/11/2021;4.98;NA;NA;NA;10.7083601;38;NA;NA;70.19919079;32130;81284;108070;21891;0;2;0
25/11/2021;4.67;NA;NA;NA;10.7083601;47;NA;NA;70.16868354;32724;79339;146239;22221;0;0;0
26/11/2021;4.37;NA;NA;NA;11.00444379;33;NA;NA;70.05265736;32664;74417;177336;62456;0;1;0
27/11/2021;4.11;NA;NA;NA;10.95509651;45;NA;NA;69.67930919;32773;89714;265995;108455;0;1;2
28/11/2021;4.1;NA;NA;NA;11.99138943;30;NA;NA;69.8495212;32895;76064;204096;91582;1;0;0
29/11/2021;5.03;NA;NA;NA;13.76789156;38;NA;NA;69.6096797;32563;59847;127203;97851;1;5;0
30/11/2021;4.76;NA;NA;NA;11.54726389;35;NA;NA;69.39753886;32749;54810;115661;106328;0;0;1
1/12/2021;4.49;NA;NA;NA;13.07702962;43;NA;NA;68.63481947;33263;60561;104599;108645;0;0;0
2/12/2021;4.77;NA;NA;NA;12.09008399;41;NA;NA;69.083619;32672;68568;108092;117328;0;4;0
3/12/2021;5.08;NA;NA;NA;11.7940003;39;NA;NA;68.81033851;32732;67566;104501;111258;0;4;0
4/12/2021;4.8;NA;NA;NA;11.99138943;35;NA;NA;68.57090543;32769;81362;138855;117435;1;2;2
5/12/2021;5.2;NA;NA;NA;11.74465302;39;NA;NA;68.65154188;32882;65192;111974;77100;0;4;0
6/12/2021;5.11;NA;NA;NA;13.57050244;39;NA;NA;68.26079005;32808;59947;92142;78446;0;3;1
7/12/2021;4.78;NA;NA;NA;12.53420952;44;NA;NA;68.10473436;32845;59295;99737;77797;0;2;0
8/12/2021;4.03;NA;NA;NA;12.18877855;39;NA;NA;67.77737204;32862;46181;75006;50706;1;5;0
9/12/2021;5.03;NA;NA;NA;11.30052748;40;NA;NA;67.7472029;33070;68405;111834;75991;0;7;0
10/12/2021;5.31;NA;NA;NA;13.61984972;40;NA;NA;67.67326437;33446;112888;151298;82164;0;3;1
11/12/2021;5.39;NA;NA;NA;12.13943127;42;NA;NA;65.8194388;34426;139050;189506;80880;1;1;0
12/12/2021;3.86;NA;NA;NA;14.90287904;34;NA;NA;67.398578;33474;105323;157134;59286;0;13;0
13/12/2021;5.47;NA;NA;NA;13.17572418;26;NA;NA;66.98146828;33672;114386;131619;63610;0;7;1
14/12/2021;5.86;NA;NA;NA;12.58355681;40;NA;NA;66.79955637;33361;113487;146956;64279;0;3;0
15/12/2021;5.4;NA;NA;NA;13.669197;39;NA;NA;66.6376829;33352;103287;135411;59020;2;2;0
16/12/2021;6.24;NA;NA;NA;12.53420952;40;NA;NA;66.35789599;33574;76306;111201;52736;0;6;0
17/12/2021;5.69;NA;NA;NA;13.42246059;29;NA;NA;64.43303455;34473;74843;107844;53291;2;5;0
18/12/2021;5.4;NA;NA;NA;9.573372628;31;NA;NA;66.09497107;33526;68610;109379;53542;1;5;0
19/12/2021;6.57;NA;NA;NA;10.85640195;37;NA;NA;66.41423036;34068;46584;90352;44831;0;1;1
20/12/2021;6.68;NA;NA;NA;12.87964049;41;NA;NA;65.90599657;33786;54420;85075;127865;0;6;2
21/12/2021;7.57;NA;NA;NA;11.99138943;29;NA;NA;65.76813824;33796;49340;81569;247094;0;10;1
22/12/2021;8.33;NA;NA;NA;13.81723884;37;NA;NA;65.56153549;33631;41307;77102;218728;0;4;0
23/12/2021;9.31;NA;NA;NA;12.04073671;40;NA;NA;65.4639021;33423;33154;64447;148249;0;5;0
24/12/2021;9.62;NA;NA;NA;13.47180787;45;NA;NA;65.18846348;33667;12117;23977;44261;0;0;0
25/12/2021;8.47;NA;NA;NA;13.02768234;37;NA;NA;65.3461527;33699;3266;6002;25062;0;1;0
26/12/2021;12.19;NA;NA;NA;13.47180787;51;NA;NA;65.15950396;33949;16038;42601;128604;0;4;1
27/12/2021;12.61;NA;NA;NA;13.61984972;41;NA;NA;64.98531288;33703;34509;77815;203083;0;6;0
28/12/2021;12.24;NA;NA;NA;14.50810079;46;NA;NA;64.85306267;33892;36327;80970;210839;0;7;1
29/12/2021;13.8;NA;NA;NA;13.42246059;37;NA;NA;64.83250052;33821;34020;70607;179289;2;7;1
30/12/2021;15.99;NA;NA;NA;13.81723884;41;NA;NA;64.63093016;33747;29606;62039;127175;0;8;0
31/12/2021;15.3;NA;NA;NA;14.55744807;48;NA;NA;64.70220741;33614;10078;26064;34818;1;4;3
1/01/2022;13.59;NA;NA;NA;16.82742302;43;NA;NA;64.73646681;33658;6046;4908;14272;0;2;0
2/01/2022;20.9;NA;NA;NA;14.45875351;43;NA;NA;64.69029973;33597;10568;30491;76142;1;3;0
3/01/2022;22.83;NA;NA;NA;16.13656108;47;NA;NA;63.28527291;33014;27345;72531;149488;1;0;1
4/01/2022;25.44;NA;NA;NA;14.90287904;48;NA;NA;63.43310713;33008;27426;78323;169926;0;11;1
5/01/2022;25.7;NA;NA;NA;16.03786652;52;NA;NA;63.10749992;33107;30840;79646;208090;0;8;0
6/01/2022;27.39;NA;NA;NA;14.90287904;68;NA;NA;61.62807889;33819;29988;76693;216020;2;11;0
7/01/2022;27.69;NA;NA;NA;15.5443937;71;NA;NA;61.45535898;33971;28896;75977;218116;0;4;1
8/01/2022;30.83;NA;NA;NA;15.84047739;92;NA;NA;61.29773692;33936;25863;71181;239961;1;5;1
9/01/2022;33.61;NA;NA;NA;15.49504642;92;NA;NA;61.08614562;34047;16895;46584;140896;0;10;0
10/01/2022;34.99;NA;NA;NA;15.69243555;106;NA;NA;61.19180524;34217;28259;69867;182531;0;9;0
11/01/2022;37.79;NA;NA;NA;17.4195904;114;NA;NA;60.96202968;34843;24836;62760;175553;0;8;0
12/01/2022;38.61;NA;NA;NA;15.39635186;131;NA;NA;60.63700318;33689;24394;59876;161341;0;4;2
13/01/2022;39.88;NA;NA;NA;16.92611759;137;NA;NA;60.57064183;34137;23017;55928;170703;0;8;0
14/01/2022;37.38;NA;NA;NA;16.92611759;156;NA;NA;60.31031176;34417;21585;49214;161660;0;12;2
15/01/2022;40.41;NA;NA;NA;19.49217623;143;NA;NA;60.2105693;34288;17940;38315;170378;1;4;1
16/01/2022;39.31;NA;NA;NA;19.19609254;156;NA;NA;60.46464175;34306;11079;26015;95379;0;3;0
17/01/2022;42.73;NA;NA;NA;20.82455283;173;NA;NA;60.32578515;32414;20083;42780;122713;1;5;0
18/01/2022;43.16;NA;NA;NA;21.56476205;171;NA;NA;60.01177856;32262;16332;38291;115333;1;3;0
19/01/2022;43.62;NA;NA;NA;20.77520555;166;NA;NA;60.04315602;31977;16816;37352;111120;0;7;1
20/01/2022;41.64;NA;NA;NA;21.61410934;199;NA;NA;59.87908252;32088;15559;34614;97319;0;5;0
21/01/2022;41.1;NA;NA;NA;19.09739798;215;NA;NA;59.88328548;32044;14177;31646;95710;3;2;0
22/01/2022;40.98;NA;NA;NA;20.3804273;200;NA;NA;59.54050563;32514;13260;28577;108267;0;2;1
23/01/2022;39.54;NA;NA;NA;21.66345662;205;NA;NA;59.65381149;32179;10128;22416;82893;0;7;0
24/01/2022;40.21;NA;NA;NA;22.10758215;216;NA;NA;59.74075125;31707;53833;30788;88755;2;6;0
25/01/2022;38.32;NA;NA;NA;22.94648594;209;NA;NA;59.50840075;32140;56770;29120;89371;0;6;2
26/01/2022;37.12;NA;NA;NA;25.26580817;196;NA;NA;59.45886216;31674;74120;29487;83961;1;4;0
27/01/2022;35.23;NA;NA;NA;21.56476205;221;NA;NA;59.67972548;31473;87503;28298;83621;0;5;1
28/01/2022;33.38;NA;NA;NA;23.19322235;208;NA;NA;59.71418524;31279;96518;26741;82070;1;3;0
29/01/2022;28.55;NA;NA;NA;22.74909681;192;NA;NA;59.75983648;31312;150003;24626;100096;0;6;1
30/01/2022;26.65;NA;NA;NA;23.73604244;169;NA;NA;59.81092774;31205;112978;17438;80090;0;4;0
31/01/2022;30.4;NA;NA;NA;24.77233536;182;NA;NA;59.73008411;31269;118279;26331;94278;0;1;0
1/02/2022;28.46;NA;NA;NA;23.68669516;201;NA;NA;59.70259034;31270;110549;25400;100118;1;5;1
2/02/2022;28.09;NA;NA;NA;23.93343157;196;NA;NA;59.73042362;31160;94943;25627;97822;0;4;1
3/02/2022;25.77;NA;NA;NA;22.79844409;168;NA;NA;59.81580223;30945;106067;25473;97857;3;5;0
4/02/2022;22.29;NA;NA;NA;21.51541477;162;NA;NA;59.88116851;30295;111834;25242;99706;0;7;0
5/02/2022;20.28;NA;NA;NA;18.94935613;156;NA;NA;59.8769089;30384;110390;24139;117311;0;11;2
6/02/2022;20.2;NA;NA;NA;21.36737293;137;NA;NA;59.78693322;30413;63835;15649;76244;2;5;0
7/02/2022;19.36;NA;NA;NA;21.36737293;134;NA;NA;59.31378908;30836;92422;25573;98494;2;5;0
8/02/2022;17.68;NA;NA;NA;19.88695448;139;NA;NA;59.15843183;30966;88700;24461;102958;0;6;0
9/02/2022;16.92;NA;NA;NA;20.92324739;117;NA;NA;58.98000842;30863;85064;23351;103933;0;2;0
10/02/2022;15.33;NA;NA;NA;19.59087079;106;NA;NA;58.77547066;30967;77992;23436;100951;1;5;0
11/02/2022;13.12;NA;NA;NA;20.28173273;109;NA;NA;58.69488195;31047;90193;23884;101964;0;5;0
12/02/2022;11.19;NA;NA;NA;18.80131429;119;NA;NA;58.43278541;31087;74350;20344;104408;1;7;1
13/02/2022;10.26;NA;NA;NA;17.61697953;113;NA;NA;58.42887883;31137;43757;12923;65941;1;10;0
14/02/2022;11.31;NA;NA;NA;17.46893768;95;NA;NA;58.2863549;31220;50590;35123;68294;0;3;0
15/02/2022;10.23;NA;NA;NA;18.06110506;85;NA;NA;57.92126587;31346;55859;41406;89004;0;1;0
16/02/2022;10.53;NA;NA;NA;16.23525564;89;NA;NA;57.82828283;31284;60369;49276;91991;0;6;0
17/02/2022;10.62;NA;NA;NA;15.84047739;81;NA;NA;57.76831182;31223;55329;57366;91667;2;4;0
18/02/2022;9.17;NA;NA;NA;16.92611759;85;NA;NA;57.70546303;31283;54589;70039;94517;1;3;2
19/02/2022;7.51;NA;NA;NA;16.28460292;81;NA;NA;57.61487825;31294;55049;89313;102636;0;4;0
20/02/2022;7.38;NA;NA;NA;15.64308826;90;NA;NA;57.72872681;31260;40819;64016;75379;1;9;0
21/02/2022;7.46;NA;NA;NA;15.0015736;80;NA;NA;57.5918237;31310;51831;84250;90085;2;3;0
22/02/2022;6.91;NA;NA;NA;14.65614263;94;NA;NA;57.5128041;31240;51331;92608;93046;0;2;0
23/02/2022;6.67;NA;NA;NA;14.55744807;76;NA;NA;57.55476442;31179;46445;78711;93267;0;4;1
24/02/2022;5.32;NA;NA;NA;13.37311331;61;NA;NA;57.53270547;31111;44965;83959;82958;0;5;0
25/02/2022;5.45;NA;NA;NA;13.42246059;83;NA;NA;57.42912371;31040;45338;94400;80608;3;3;0
26/02/2022;5.33;NA;NA;NA;12.78094593;70;NA;NA;57.51903963;30988;40964;83253;83197;4;5;1
